TEAM;LOGO
BRASÍLIA VÔLEI;https://github.com/smnlgn/superligasemlimites/blob/main/ssl/logos/brasilia.png?raw=true
UNILIFE-MARINGA;https://github.com/smnlgn/superligasemlimites/blob/main/ssl/logos/maringa.png?raw=true
DENTIL PRAIA CLUBE;https://github.com/smnlgn/superligasemlimites/blob/main/ssl/logos/praia.png?raw=true
ESPORTE CLUBE PINHEIROS;https://github.com/smnlgn/superligasemlimites/blob/main/ssl/logos/pinheiros.png?raw=true
OSASCO SÃO CRISTOVÃO SAUDE;https://github.com/smnlgn/superligasemlimites/blob/main/ssl/logos/osasco.png?raw=true
FLUMINENSE;https://github.com/smnlgn/superligasemlimites/blob/main/ssl/logos/fluminense.png?raw=true
ITAMBÉ MINAS;https://github.com/smnlgn/superligasemlimites/blob/main/ssl/logos/minas.png?raw=true
COUNTRY CLUB VALINHOS;https://github.com/smnlgn/superligasemlimites/blob/main/ssl/logos/valinhos.png?raw=true
SESI VOLEI BAURU;https://github.com/smnlgn/superligasemlimites/blob/main/ssl/logos/bauru.png?raw=true
SESC RJ FLAMENGO;https://github.com/smnlgn/superligasemlimites/blob/main/ssl/logos/sescfla.png?raw=true
BARUERI VOLLEYBALL CLUB;https://github.com/smnlgn/superligasemlimites/blob/main/ssl/logos/barueri.png?raw=true
CURITIBA VÔLEI;https://github.com/smnlgn/superligasemlimites/blob/main/ssl/logos/curitiba.png?raw=true
